;for beyerdynamic 449350 with serial number 31004; Sensitivity: 15.5mV/Pa = -36.2dBV	
;Frequency[Hz]	rel. Level[dB]
50	1.2
60	1.0
70	0.9
80	0.8
90	0.8
100	0.7
110	0.7
120	0.6
130	0.6
140	0.6
150	0.5
160	0.5
170	0.5
180	0.5
190	0.4
200	0.4
210	0.4
220	0.4
230	0.4
240	0.4
250	0.3
260	0.3
270	0.3
280	0.3
290	0.3
300	0.3
310	0.3
320	0.3
330	0.3
340	0.3
350	0.2
360	0.2
370	0.2
380	0.2
390	0.2
400	0.2
420	0.1
440	0.1
470	0.0
500	0.0
530	0.0
570	0.0
600	0.0
640	0.1
680	0.1
720	0.2
770	0.2
820	0.2
870	0.1
920	0.1
980	0.0
1050	-0.0
1110	0.1
1180	0.2
1260	0.1
1340	-0.0
1420	-0.1
1510	-0.1
1610	-0.1
1710	-0.1
1820	-0.1
1930	-0.0
2050	-0.0
2180	-0.1
2320	0.0
2470	0.2
2630	0.1
2790	-0.1
2970	-0.1
3160	-0.5
3360	-0.3
3570	0.1
3800	0.6
4040	0.6
4290	0.8
4570	0.3
4860	0.4
5160	0.3
5490	0.6
5840	0.8
6210	1.0
6610	1.1
7030	1.4
7470	1.3
7950	1.8
8450	2.5
8990	2.6
9560	2.7
10160	3.0
10810	3.1
11490	2.8
12220	2.8
13000	2.9
13830	2.7
14700	2.6
15640	2.7
16630	2.6
17690	2.4
18810	2.5
19980	2.3
