;for beyerdynamic 449350 with serial number 31047; Sensitivity: 15.3mV/Pa = -36.3dBV	
;Frequency[Hz] "rel. Level [dB], 90-degree-curve"
50	0.9
60	0.7
70	0.6
80	0.5
90	0.4
100	0.4
110	0.4
120	0.3
130	0.3
140	0.2
150	0.2
160	0.2
170	0.2
180	0.1
190	0.1
200	0.1
210	0.1
220	0.1
230	0.1
240	0.1
250	0.1
260	0.1
270	0.1
280	0.1
290	0.1
300	0.1
310	0.1
320	0.0
330	0.0
340	0.0
350	0.0
360	0.0
370	-0.0
380	-0.0
390	-0.1
400	-0.1
420	-0.1
440	-0.1
470	-0.2
500	-0.3
530	-0.2
570	-0.3
600	-0.2
640	-0.1
680	-0.1
720	0.0
770	0.1
820	0.0
870	-0.1
920	-0.1
980	-0.2
1050	-0.3
1110	-0.2
1180	-0.0
1260	-0.0
1340	-0.1
1420	-0.2
1510	-0.2
1610	-0.1
1710	-0.0
1820	-0.0
1930	0.1
2050	0.1
2180	-0.1
2320	-0.3
2470	-0.2
2630	-0.0
2790	-0.3
2970	-0.1
3160	-0.5
3360	-0.6
3570	-1.0
3800	-0.8
4040	-0.8
4290	-0.1
4570	0.3
4860	0.7
5160	0.5
5490	0.0
5840	-0.4
6210	-0.9
6610	-0.7
7030	-0.2
7470	0.2
7950	0.5
8450	0.7
8990	0.4
9560	0.1
10160	0.2
10810	0.2
11490	0.2
12220	0.0
13000	-0.2
13830	-0.6
14700	-1.1
15640	-1.4
16630	-2.0
17690	-2.6
18810	-3.0
19980	-3.6
