;for beyerdynamic 449350 with serial number 31004; Sensitivity: 15.5mV/Pa = -36.2dBV	
;Frequency[Hz] "rel. Level [dB], 90-degree-curve"
50	1.1
60	1.0
70	0.9
80	0.8
90	0.7
100	0.7
110	0.6
120	0.6
130	0.5
140	0.5
150	0.5
160	0.4
170	0.4
180	0.4
190	0.4
200	0.4
210	0.3
220	0.3
230	0.3
240	0.3
250	0.3
260	0.3
270	0.3
280	0.3
290	0.3
300	0.2
310	0.2
320	0.2
330	0.2
340	0.2
350	0.2
360	0.2
370	0.2
380	0.1
390	0.1
400	0.1
420	0.1
440	0.1
470	-0.0
500	-0.1
530	-0.1
570	-0.1
600	-0.1
640	-0.0
680	0.0
720	0.1
770	0.1
820	0.0
870	-0.1
920	-0.1
980	-0.2
1050	-0.2
1110	-0.2
1180	-0.0
1260	-0.1
1340	-0.2
1420	-0.3
1510	-0.2
1610	-0.1
1710	-0.1
1820	-0.1
1930	0.0
2050	0.0
2180	-0.2
2320	-0.3
2470	-0.2
2630	-0.3
2790	-0.4
2970	-0.1
3160	-0.5
3360	-0.8
3570	-1.1
3800	-1.0
4040	-1.1
4290	-0.4
4570	-0.0
4860	0.4
5160	0.1
5490	-0.0
5840	-0.6
6210	-1.0
6610	-0.7
7030	-0.2
7470	0.1
7950	0.4
8450	0.6
8990	0.4
9560	0.1
10160	0.1
10810	0.1
11490	-0.1
12220	-0.3
13000	-0.5
13830	-0.9
14700	-1.5
15640	-1.8
16630	-2.2
17690	-2.8
18810	-3.0
19980	-3.4
